id,name,text,summary,score
3643,Lori,"Great product, holds up to the rough housing of our cats and they love to rub all over it since it's catnip infused!",Cosmic Boomerang,5
3644,sportsluvr25,"We bought this for our new puppy to keep her safe when we were away for more than a couple of hours. It gives her room to roam a bit, without being completely cooped up inside of her kennel.",Works great! Easy to assemble!,5
3645,Mandie,"The vacuum part clogged very quickly with a bit of stray marimoo.  I couldn't quite get it to start siphoning the way it described, I just use the tubing as a vacuum/siphon of it's own, but I have a turtle tank, not a tank with small fish.","Siphons water, that's about it.",3
3646,AprilRayne,It does not.  I had a large coat for my 80 pound golden retriever/lab that fit perfectly.  I am not happy and to return something you have to pay extra to send it back.  I paid only 7 dollars for it.,Medium I thought would fit my 44 pound dog,2
3647,Jessica,"I had another scooper that wasn't made as well but cost about the same. No complaints about it because it lasted over a year and I leave it outside hanging from a fence in the elements. This one though is much more sturdier, which is nice. It picks up poop, clearly and mostly cleanly. I mean, if the doggie has a belly ache and she's not doing a solid #2 then it does the best job that it can which is better job than my hand inside a poop bag will do. I mean really.A good buy and doesn't struggle with larger doo-doo piles.",Boy does this take a lot of crap!,5
3648,"""Helly K \""Helly\""""","Great bargain for the amount of bags you receive in the package.  You won't find this bulk for this price anywhere.  I searched high and low and was relieved to find them on Amazon.  They aren't the strongest bags (they tend to tear if you're too quick tearing them), but not as flimsy as other bags I've had.",Great bargain,4
3649,"""Robert D. Thomas \""Robert D Thomas\""""",Very very fine sand. Does not stay white.  Keep away from intake.  Be careful while cleaning tank with suction as will easily be sucked up.,Ok product,3
3650,Lily Divine,"These do what they say: they cut dog nails.  The dogs don't even seem to notice I'm cutting their nails, unlike with other trimmers I've used.  Nails come off cleanly with no squeezing or splintering.  They're great!",great product,5
3651,"""Lynnmarie \""cat lover\""""",This is the best accessory toi the Drinkwell platinum Drinking fountain.It fits perfectly & keeps my floor dry as nothing else did.,Great mat for the Drinkwell Platinum Drinking fountain,5
3652,"""Kenpo-Jujitsu Teacher \""Phil\""""","I had had good luck in the past with products from Schiff, and the same holds true for this one. I take it to help maintain good joint health and it works for me.A note to the user: it has been my experience that the positive effects do not occur overnight...give it about a week. The same holds true if you stop taking  it. I once ran out, and about a week later my knees &#34;reminded me&#34; that I had forgotten to buy another bottle!  :-)",Great for my knees and elbows.,5
3653,Rachel England,"We have a pitbull-rotweiller mix 3-year old, who tears apart any toy within moments. This gator was no exception. There was a hole in the head within about 5 minutes, and one of the arms was gone in 10. However, we totally expected this, and, because there were so many squeakers, and so many parts, he just kept attacking it, piece by piece, and it lasted almost a month, which is UNHEARD of.",So many squeakers!,4
3654,j-fit,"""Don't take offense, I fed this brand for years. But, a look at the ingredients shows that it is garbage. No wonder our pets are suffering so many diseases that could be prevented with proper nutrition. Corn, wheat how this crap is legally sold as dog food or even touted as \""wholesome\"" is beyond me.Want a starter book on the horrors of the pet food industry? \""Food Pets Die For\"", check it outwe switched to a more natural kibble several years ago but even then the years of feeding junk food did its damage. Our Dane was diangosed with lymphoma, and since has been switched to raw pet food such as Nature's Variety and Primal. If you love your pet, at least check them out. They are pricey, but for a healthier/longer life, well worth it.""",GARBAGE,1
3655,SarahM,My corgi is a very picky eater (my dad likes to spoil her when I'm not around) and I'm trying to avoid wheat in her diet since she seems to lose her hair faster and itch her skin when she eats it. These treats are great for smaller dogs and super soft so she thinks she is getting table food. She comes running when she hears the bag rustle.,She loves them!,5
3656,taneshia carr,"I purchased this because my bulldog had a balding hotspot and the reviews were excellent. I haven't opened it yet because I can smell it through the sealed tube!!! My bulldog lives inside and I don't think I want him, his bed, my carpet, rugs, or my furniture to smell strongly of pine oil and sulfur I wish I could use it! If it doesn't expire, I'll just hold into it until I get a house with a yard, so the smell can wear off /sticky  ointment  can rub off outside before he comes in the house... Lol..... It smells like it will work though.",Can't honestly rate it yet because I haven't opened it.. Lol,3
3657,"""SyFyHeaven \""SiFiHeaven\""""","I can't throw these as far as a normal frisbee, but I really like that it's soft so if my dog catches it mid-air, he won't be chipping any of his teeth.My puppy loves this toy and it's okay to play with it in the house (roll it on the floor).",My dog loves it,5
3658,chargergrl06,"I run a dog rescue. Sometimes, we get dogs who have an aversion to walking on the leash, or they get scared and tried to pull out of the collar, etc, etc.... well we started using these types of collars for those dogs and they WORK! It tightens up on them enough when they try to put the brakes on and worm out of the collar that they can't get away. It's the perfect solution! I definitely recommend this for anyone who has a dog who might do that same type of thing, it's much safer.",Awesome functionality!,5
